"Dataset","Species","Forced.Fire","Forced.No.Fire","Forced.Simpler.Mod","Discard.Later","One.Top.Mod"
"35","VAME","No","NA","Yes","NA","Yes"
"35","VASI","NA","No","NA","NA","No"
"36","ACCI","NA","No","NA","NA","No"
"36","ACGL","NA","No","NA","NA","No"
"36","ACMI","No","NA","NA","NA","No"
"36","AMAL","NA","No","NA","NA","No"
"36","ARUV","No","NA","NA","NA","No"
"36","ATFI","NA","No","NA","NA","No"
"36","CAME","NA","No","NA","NA","No"
"36","CARU","No","NA","NA","NA","No"
"36","CEVE","No","NA","NA","NA","No"
"36","CHUM","NA","No","NA","NA","No"
"36","CLUN","NA","No","NA","NA","No"
"36","COCA","NA","No","NA","NA","No"
"36","EPAN","No","NA","NA","NA","No"
"36","GAOV","NA","No","NA","NA","No"
"36","GASH","NA","No","NA","NA","No"
"36","GOOB","NA","No","NA","NA","No"
"36","GYDR","NA","No","NA","NA","No"
"36","HIAL","NA","No","NA","NA","No"
"36","HODI","NA","No","Yes","NA","No"
"36","LIBO","NA","No","NA","NA","No"
"36","MANE","NA","No","NA","NA","No"
"36","MEFE","NA","No","NA","NA","No"
"36","OPHO","NA","No","NA","NA","Yes"
"36","PAMY","No","NA","NA","NA","Yes"
"36","POMU","NA","No","NA","NA","No"
"36","PTAQ","NA","No","NA","NA","No"
"36","RULA","NA","No","NA","NA","No"
"36","RUPA","NA","No","NA","NA","No"
"36","RUPE","NA","No","NA","NA","No"
"36","RUSP","NA","No","NA","NA","No"
"36","SOSI","NA","No","NA","NA","No"
"36","SPBE","NA","No","NA","NA","No"
"36","TITR","NA","No","NA","NA","No"
"36","TRBO","NA","No","NA","Yes","NA"
"36","VAME","Yes","NA","NA","NA","No"
"36","VASI","NA","No","NA","NA","No"
"37","ACCI","NA","No","NA","NA","No"
"37","ACGL","NA","No","NA","NA","No"
"37","ACMI","No","NA","NA","NA","No"
"37","AMAL","NA","Yes","NA","NA","No"
"37","ARUV","No","NA","NA","NA","Yes"
"37","ATFI","NA","No","NA","NA","No"
"37","CAME","NA","No","NA","NA","No"
"37","CARU","No","NA","NA","NA","No"
"37","CEVE","No","NA","NA","NA","No"
"37","CHUM","NA","No","NA","NA","No"
"37","CLUN","NA","No","NA","NA","No"
"37","COCA","NA","No","NA","NA","No"
"37","EPAN","No","NA","NA","NA","No"
"37","GAOV","NA","No","NA","NA","No"
"37","GASH","NA","No","NA","NA","No"
"37","GOOB","NA","No","NA","NA","No"
"37","GYDR","NA","No","NA","NA","No"
"37","HIAL","NA","No","NA","NA","No"
"37","HODI","NA","No","Yes","NA","No"
"37","LIBO","NA","No","NA","NA","No"
"37","MANE","NA","No","NA","NA","No"
"37","MEFE","NA","No","NA","NA","No"
"37","OPHO","NA","No","NA","NA","Yes"
"37","PAMY","No","NA","NA","NA","No"
"37","POMU","NA","No","NA","NA","No"
"37","PTAQ","NA","No","NA","NA","No"
"37","RULA","NA","No","NA","NA","No"
"37","RUPA","NA","No","NA","NA","No"
"37","RUPE","NA","No","NA","NA","No"
"37","RUSP","NA","No","NA","NA","No"
"37","SOSI","NA","No","NA","NA","No"
"37","SPBE","NA","Yes","NA","NA","No"
"37","TITR","NA","No","NA","NA","No"
"37","TRBO","NA","No","NA","NA","No"
"37","VAME","No","NA","Yes","NA","Yes"
"37","VASI","NA","No","NA","NA","No"
"38","ACCI","NA","No","NA","NA","No"
"38","ACGL","NA","No","NA","NA","No"
"38","ACMI","No","NA","NA","NA","No"
"38","AMAL","NA","No","NA","NA","No"
"38","ARUV","No","NA","NA","NA","No"
"38","ATFI","NA","No","NA","NA","No"
"38","CAME","NA","No","NA","NA","No"
"38","CARU","No","NA","NA","NA","No"
"38","CEVE","No","NA","NA","NA","Yes"
"38","CHUM","NA","No","NA","NA","No"
"38","CLUN","NA","No","NA","NA","No"
"38","COCA","NA","No","NA","NA","No"
"38","EPAN","No","NA","NA","NA","Yes"
"38","GAOV","NA","No","NA","NA","No"
"38","GASH","NA","No","NA","NA","No"
"38","GOOB","NA","No","NA","NA","No"
"38","GYDR","NA","No","NA","NA","No"
"38","HIAL","NA","No","NA","NA","No"
"38","HODI","NA","No","Yes","NA","No"
"38","LIBO","NA","No","NA","NA","No"
"38","MANE","NA","No","NA","NA","No"
"38","MEFE","NA","No","NA","NA","No"
"38","OPHO","NA","No","NA","NA","No"
"38","PAMY","No","NA","NA","NA","Yes"
"38","POMU","NA","No","NA","NA","No"
"38","PTAQ","NA","No","NA","NA","No"
"38","RULA","NA","No","NA","NA","No"
"38","RUPA","NA","No","NA","NA","No"
"38","RUPE","NA","No","NA","NA","No"
"38","RUSP","NA","No","NA","NA","No"
"38","SOSI","NA","No","NA","NA","No"
"38","SPBE","NA","No","NA","NA","No"
"38","TITR","NA","No","NA","NA","No"
"38","TRBO","NA","No","NA","NA","No"
"38","VAME","No","NA","Yes","NA","Yes"
"38","VASI","NA","No","NA","NA","No"
"39","ACCI","NA","No","NA","NA","No"
"39","ACGL","NA","No","NA","NA","No"
"39","ACMI","No","NA","NA","NA","No"
"39","AMAL","NA","No","NA","NA","No"
"39","ARUV","No","NA","NA","NA","No"
"39","ATFI","NA","No","NA","NA","No"
"39","CAME","NA","No","NA","NA","No"
"39","CARU","No","NA","NA","NA","No"
"39","CEVE","No","NA","NA","NA","Yes"
"39","CHUM","NA","No","NA","NA","No"
"39","CLUN","NA","No","NA","NA","No"
"39","COCA","NA","No","NA","NA","No"
"39","EPAN","No","NA","NA","NA","No"
"39","GAOV","NA","No","NA","NA","No"
"39","GASH","NA","No","NA","NA","No"
"39","GOOB","NA","No","NA","NA","No"
"39","GYDR","NA","No","NA","NA","No"
"39","HIAL","NA","No","NA","NA","No"
"39","HODI","NA","No","Yes","NA","No"
"39","LIBO","NA","No","NA","NA","No"
"39","MANE","NA","No","NA","NA","No"
"39","MEFE","NA","No","NA","NA","No"
"39","OPHO","NA","No","NA","NA","Yes"
"39","PAMY","No","NA","NA","NA","Yes"
"39","POMU","NA","No","NA","NA","No"
"39","PTAQ","NA","No","NA","NA","No"
"39","RULA","NA","No","NA","NA","No"
"39","RUPA","NA","No","NA","NA","No"
"39","RUPE","NA","No","NA","NA","No"
"39","RUSP","NA","No","NA","NA","No"
"39","SOSI","NA","No","NA","NA","No"
"39","SPBE","NA","Yes","NA","NA","No"
"39","TITR","NA","No","NA","NA","No"
"39","TRBO","NA","No","NA","NA","No"
"39","VAME","No","NA","Yes","NA","Yes"
"39","VASI","NA","No","NA","NA","No"
"40","ACCI","NA","No","NA","NA","No"
"40","ACGL","NA","No","NA","NA","No"
"40","ACMI","No","NA","NA","NA","No"
"40","AMAL","NA","No","NA","NA","No"
"40","ARUV","No","NA","NA","NA","No"
"40","ATFI","NA","No","NA","NA","No"
"40","CAME","NA","No","NA","NA","No"
"40","CARU","No","NA","NA","NA","No"
"40","CEVE","No","NA","NA","NA","No"
"40","CHUM","NA","No","NA","NA","No"
"40","CLUN","NA","No","NA","NA","No"
"40","COCA","NA","No","NA","NA","No"
"40","EPAN","No","NA","NA","NA","Yes"
"40","GAOV","NA","No","NA","NA","No"
"40","GASH","NA","No","NA","NA","No"
"40","GOOB","NA","No","NA","NA","No"
"40","GYDR","NA","No","NA","NA","No"
"40","HIAL","NA","No","NA","NA","No"
"40","HODI","NA","No","Yes","NA","No"
"40","LIBO","NA","No","NA","NA","No"
"40","MANE","NA","No","NA","NA","No"
"40","MEFE","NA","No","NA","NA","No"
"40","OPHO","NA","No","NA","NA","Yes"
"40","PAMY","No","NA","NA","NA","Yes"
"40","POMU","NA","No","NA","NA","No"
"40","PTAQ","NA","No","NA","NA","No"
"40","RULA","NA","No","NA","NA","No"
"40","RUPA","NA","No","NA","NA","No"
"40","RUPE","NA","No","NA","NA","No"
"40","RUSP","NA","No","NA","NA","No"
"40","SOSI","NA","No","NA","NA","No"
"40","SPBE","NA","Yes","NA","NA","No"
"40","TITR","NA","No","NA","NA","No"
"40","TRBO","NA","No","NA","NA","No"
"40","VAME","No","NA","Yes","NA","Yes"
"40","VASI","NA","No","NA","NA","No"
"41","ACCI","NA","No","NA","NA","No"
"41","ACGL","NA","No","NA","NA","No"
"41","ACMI","No","NA","NA","NA","No"
"41","AMAL","NA","No","NA","NA","No"
"41","ARUV","No","NA","NA","NA","No"
"41","ATFI","NA","No","NA","NA","No"
"41","CAME","NA","No","NA","Yes","NA"
"41","CARU","No","NA","NA","NA","Yes"
"41","CEVE","No","NA","NA","NA","No"
"41","CHUM","NA","No","NA","NA","No"
"41","CLUN","NA","No","NA","NA","No"
"41","COCA","NA","No","NA","NA","No"
"41","EPAN","No","NA","NA","NA","Yes"
"41","GAOV","NA","No","NA","NA","No"
"41","GASH","NA","No","NA","NA","No"
"41","GOOB","NA","No","NA","NA","No"
"41","GYDR","NA","No","NA","NA","No"
"41","HIAL","NA","No","NA","Yes","NA"
"41","HODI","NA","No","Yes","NA","No"
"41","LIBO","NA","No","NA","NA","No"
"41","MANE","NA","No","NA","NA","No"
"41","MEFE","NA","No","NA","NA","No"
"41","OPHO","NA","No","NA","NA","Yes"
"41","PAMY","No","NA","NA","NA","Yes"
"41","POMU","NA","No","NA","NA","No"
"41","PTAQ","NA","No","NA","NA","No"
"41","RULA","NA","No","NA","NA","No"
"41","RUPA","NA","No","NA","NA","No"
"41","RUPE","NA","No","NA","NA","No"
"41","RUSP","NA","No","NA","NA","No"
"41","SOSI","NA","No","NA","NA","No"
"41","SPBE","NA","Yes","NA","NA","No"
"41","TITR","NA","No","NA","NA","No"
"41","TRBO","NA","No","NA","NA","No"
"41","VAME","No","NA","Yes","NA","Yes"
"41","VASI","NA","No","NA","NA","No"
"42","ACCI","NA","No","NA","NA","No"
"42","ACGL","NA","No","NA","NA","No"
"42","ACMI","No","NA","NA","NA","No"
"42","AMAL","NA","No","NA","NA","No"
"42","ARUV","No","NA","NA","NA","No"
"42","ATFI","NA","No","NA","NA","No"
"42","CAME","NA","No","NA","NA","No"
"42","CARU","No","NA","NA","NA","Yes"
"42","CEVE","No","NA","NA","NA","No"
"42","CHUM","NA","No","NA","NA","No"
"42","CLUN","NA","No","NA","NA","No"
"42","COCA","NA","No","NA","NA","No"
"42","EPAN","No","NA","NA","NA","Yes"
"42","GAOV","NA","No","NA","NA","No"
"42","GASH","NA","No","NA","NA","No"
"42","GOOB","NA","No","NA","NA","No"
"42","GYDR","NA","No","NA","NA","No"
"42","HIAL","NA","No","NA","NA","No"
"42","HODI","NA","No","Yes","NA","No"
"42","LIBO","NA","No","NA","NA","No"
"42","MANE","NA","No","NA","NA","No"
"42","MEFE","NA","No","NA","NA","No"
"42","OPHO","NA","No","NA","NA","No"
"42","PAMY","No","NA","NA","NA","Yes"
"42","POMU","NA","No","NA","NA","No"
"42","PTAQ","NA","No","NA","NA","No"
"42","RULA","NA","No","NA","NA","No"
"42","RUPA","NA","No","NA","NA","No"
"42","RUPE","NA","No","NA","NA","No"
"42","RUSP","NA","No","NA","NA","No"
"42","SOSI","NA","No","NA","NA","No"
"42","SPBE","NA","Yes","NA","NA","No"
"42","TITR","NA","No","NA","NA","No"
"42","TRBO","NA","No","NA","NA","No"
"42","VAME","No","NA","Yes","NA","Yes"
"42","VASI","NA","No","NA","NA","No"
"43","ACCI","NA","No","NA","NA","No"
"43","ACGL","NA","No","NA","NA","No"
"43","ACMI","No","NA","NA","NA","No"
"43","AMAL","NA","No","NA","NA","No"
"43","ARUV","No","NA","NA","NA","No"
"43","ATFI","NA","No","NA","NA","No"
"43","CAME","NA","No","NA","NA","No"
"43","CARU","No","NA","NA","NA","No"
"43","CEVE","No","NA","NA","NA","Yes"
"43","CHUM","NA","No","NA","NA","No"
"43","CLUN","NA","No","NA","NA","No"
"43","COCA","NA","No","NA","NA","No"
"43","EPAN","No","NA","NA","NA","Yes"
"43","GAOV","NA","No","NA","NA","No"
"43","GASH","NA","No","NA","NA","No"
"43","GOOB","NA","No","NA","NA","No"
"43","GYDR","NA","No","NA","NA","No"
"43","HIAL","NA","No","NA","NA","No"
"43","HODI","NA","No","Yes","NA","No"
"43","LIBO","NA","No","NA","NA","No"
"43","MANE","NA","No","NA","NA","No"
"43","MEFE","NA","No","NA","NA","Yes"
"43","OPHO","NA","No","NA","NA","Yes"
"43","PAMY","No","NA","NA","NA","Yes"
"43","POMU","NA","No","NA","NA","No"
"43","PTAQ","NA","No","NA","NA","No"
"43","RULA","NA","No","NA","NA","No"
"43","RUPA","NA","No","NA","NA","No"
"43","RUPE","NA","No","NA","NA","No"
"43","RUSP","NA","No","NA","NA","No"
"43","SOSI","NA","No","NA","NA","No"
"43","SPBE","NA","Yes","NA","NA","No"
"43","TITR","NA","No","NA","NA","No"
"43","TRBO","NA","No","NA","NA","No"
"43","VAME","No","NA","Yes","NA","Yes"
"43","VASI","NA","No","NA","NA","No"
"44","ACCI","NA","No","NA","NA","No"
"44","ACGL","NA","No","NA","NA","No"
"44","ACMI","No","NA","NA","NA","No"
"44","AMAL","NA","Yes","NA","NA","No"
"44","ARUV","No","NA","NA","NA","Yes"
"44","ATFI","NA","No","NA","NA","No"
"44","CAME","NA","No","NA","NA","No"
"44","CARU","Yes","NA","NA","NA","Yes"
"44","CEVE","No","NA","NA","NA","Yes"
"44","CHUM","NA","No","NA","NA","No"
"44","CLUN","NA","No","NA","NA","No"
"44","COCA","NA","No","NA","NA","No"
"44","EPAN","No","NA","NA","NA","Yes"
"44","GAOV","NA","No","NA","NA","No"
"44","GASH","NA","No","NA","NA","No"
"44","GOOB","NA","No","NA","NA","No"
"44","GYDR","NA","No","NA","NA","No"
"44","HIAL","NA","No","NA","NA","No"
"44","HODI","NA","No","Yes","NA","No"
"44","LIBO","NA","No","NA","NA","No"
"44","MANE","NA","No","NA","NA","No"
"44","MEFE","NA","No","NA","NA","No"
"44","OPHO","NA","No","NA","NA","No"
"44","PAMY","No","NA","NA","NA","Yes"
"44","POMU","NA","No","NA","NA","No"
"44","PTAQ","NA","No","NA","NA","No"
"44","RULA","NA","No","NA","NA","No"
"44","RUPA","NA","No","NA","NA","No"
"44","RUPE","NA","No","NA","NA","No"
"44","RUSP","NA","No","NA","NA","No"
"44","SOSI","NA","No","NA","NA","No"
"44","SPBE","NA","Yes","NA","NA","No"
"44","TITR","NA","No","NA","NA","No"
"44","TRBO","NA","No","NA","Yes","NA"
"44","VAME","No","NA","Yes","NA","Yes"
"44","VASI","NA","No","NA","NA","No"
"45","ACCI","NA","No","NA","NA","No"
"45","ACGL","NA","No","NA","NA","No"
"45","ACMI","No","NA","NA","NA","No"
"45","AMAL","NA","Yes","NA","NA","No"
"45","ARUV","No","NA","NA","NA","Yes"
"45","ATFI","NA","No","NA","NA","No"
"45","CAME","NA","No","NA","NA","No"
"45","CARU","No","NA","NA","NA","No"
"45","CEVE","No","NA","NA","NA","Yes"
"45","CHUM","NA","No","NA","NA","No"
"45","CLUN","NA","No","NA","NA","No"
"45","COCA","NA","No","NA","NA","No"
"45","EPAN","No","NA","NA","NA","No"
"45","GAOV","NA","No","NA","NA","No"
"45","GASH","NA","No","NA","NA","No"
"45","GOOB","NA","No","NA","NA","No"
"45","GYDR","NA","No","NA","NA","No"
"45","HIAL","NA","No","NA","NA","No"
"45","HODI","NA","No","Yes","NA","No"
"45","LIBO","NA","No","NA","NA","No"
"45","MANE","NA","No","NA","NA","No"
"45","MEFE","NA","No","NA","NA","No"
"45","OPHO","NA","No","NA","NA","Yes"
"45","PAMY","No","NA","NA","NA","Yes"
"45","POMU","NA","No","NA","NA","No"
"45","PTAQ","NA","No","NA","NA","No"
"45","RULA","NA","No","NA","NA","No"
"45","RUPA","NA","No","NA","NA","Yes"
"45","RUPE","NA","No","NA","NA","No"
"45","RUSP","NA","No","NA","NA","No"
"45","SOSI","NA","No","NA","NA","No"
"45","SPBE","NA","Yes","NA","NA","No"
"45","TITR","NA","No","NA","NA","No"
"45","TRBO","NA","No","NA","Yes","NA"
"45","VAME","No","NA","Yes","NA","Yes"
"45","VASI","NA","No","NA","NA","No"
"46","ACCI","NA","No","NA","NA","No"
"46","ACGL","NA","No","NA","NA","No"
"46","ACMI","No","NA","NA","NA","No"
"46","AMAL","NA","No","NA","NA","No"
"46","ARUV","No","NA","NA","NA","Yes"
"46","ATFI","NA","No","NA","NA","No"
"46","CAME","NA","No","NA","NA","No"
"46","CARU","No","NA","NA","NA","No"
"46","CEVE","No","NA","NA","NA","No"
"46","CHUM","NA","No","NA","NA","No"
"46","CLUN","NA","No","NA","NA","No"
"46","COCA","NA","No","NA","NA","No"
"46","EPAN","No","NA","NA","NA","Yes"
"46","GAOV","NA","No","NA","NA","No"
"46","GASH","NA","No","NA","NA","No"
"46","GOOB","NA","No","NA","NA","No"
"46","GYDR","NA","No","NA","NA","No"
"46","HIAL","NA","No","NA","NA","No"
"46","HODI","NA","No","Yes","NA","No"
"46","LIBO","NA","No","NA","NA","No"
"46","MANE","NA","No","NA","NA","No"
"46","MEFE","NA","No","NA","NA","No"
"46","OPHO","NA","No","NA","NA","Yes"
"46","PAMY","No","NA","NA","NA","Yes"
"46","POMU","NA","No","NA","NA","No"
"46","PTAQ","NA","No","NA","NA","No"
"46","RULA","NA","No","NA","NA","No"
"46","RUPA","NA","No","NA","NA","No"
"46","RUPE","NA","No","NA","NA","No"
"46","RUSP","NA","No","NA","NA","No"
"46","SOSI","NA","No","NA","NA","No"
"46","SPBE","NA","No","NA","NA","No"
"46","TITR","NA","No","NA","NA","No"
"46","TRBO","NA","No","NA","NA","No"
"46","VAME","No","NA","Yes","NA","Yes"
"46","VASI","NA","No","NA","NA","No"
"47","ACCI","NA","No","NA","NA","No"
"47","ACGL","NA","No","NA","NA","No"
"47","ACMI","No","NA","NA","NA","No"
"47","AMAL","NA","Yes","NA","NA","No"
"47","ARUV","No","NA","NA","NA","No"
"47","ATFI","NA","No","NA","NA","No"
"47","CAME","NA","No","NA","NA","No"
"47","CARU","No","NA","NA","NA","Yes"
"47","CEVE","No","NA","NA","NA","No"
"47","CHUM","NA","No","NA","NA","No"
"47","CLUN","NA","No","NA","NA","No"
"47","COCA","NA","No","NA","NA","No"
"47","EPAN","No","NA","NA","NA","No"
"47","GAOV","NA","No","NA","NA","No"
"47","GASH","NA","No","NA","NA","No"
"47","GOOB","NA","No","NA","NA","No"
"47","GYDR","NA","No","NA","NA","No"
"47","HIAL","NA","No","NA","NA","No"
"47","HODI","NA","No","Yes","NA","No"
"47","LIBO","NA","No","NA","NA","No"
"47","MANE","NA","No","NA","NA","No"
"47","MEFE","NA","No","NA","NA","No"
"47","OPHO","NA","No","NA","NA","Yes"
"47","PAMY","No","NA","NA","NA","Yes"
"47","POMU","NA","No","NA","NA","No"
"47","PTAQ","NA","No","NA","NA","No"
"47","RULA","NA","No","NA","NA","No"
"47","RUPA","NA","No","NA","NA","No"
"47","RUPE","NA","No","NA","NA","No"
"47","RUSP","NA","No","NA","NA","No"
"47","SOSI","NA","No","NA","NA","No"
"47","SPBE","NA","Yes","NA","NA","No"
"47","TITR","NA","No","NA","NA","No"
"47","TRBO","NA","No","NA","Yes","NA"
"47","VAME","No","NA","Yes","NA","Yes"
"47","VASI","NA","No","NA","NA","No"
"48","ACCI","NA","No","NA","NA","No"
"48","ACGL","NA","No","NA","NA","No"
"48","ACMI","No","NA","NA","NA","No"
"48","AMAL","NA","Yes","NA","NA","No"
"48","ARUV","No","NA","NA","NA","No"
"48","ATFI","NA","No","NA","NA","No"
"48","CAME","NA","No","NA","NA","No"
"48","CARU","No","NA","NA","NA","Yes"
"48","CEVE","No","NA","NA","NA","No"
"48","CHUM","NA","No","NA","NA","No"
"48","CLUN","NA","No","NA","NA","No"
"48","COCA","NA","No","NA","NA","No"
"48","EPAN","No","NA","NA","NA","Yes"
"48","GAOV","NA","No","NA","NA","No"
"48","GASH","NA","No","NA","NA","No"
"48","GOOB","NA","No","NA","NA","No"
"48","GYDR","NA","No","NA","NA","No"
"48","HIAL","NA","No","NA","NA","No"
"48","HODI","NA","No","Yes","NA","No"
"48","LIBO","NA","No","NA","NA","No"
"48","MANE","NA","No","NA","NA","No"
"48","MEFE","NA","No","NA","NA","No"
"48","OPHO","NA","No","NA","NA","No"
"48","PAMY","No","NA","NA","NA","Yes"
"48","POMU","NA","No","NA","NA","No"
"48","PTAQ","NA","No","NA","NA","No"
"48","RULA","NA","No","NA","NA","No"
"48","RUPA","NA","No","NA","NA","No"
"48","RUPE","NA","No","NA","NA","No"
"48","RUSP","NA","No","NA","NA","No"
"48","SOSI","NA","No","NA","NA","No"
"48","SPBE","NA","Yes","NA","NA","No"
"48","TITR","NA","No","NA","NA","No"
"48","TRBO","NA","No","NA","NA","No"
"48","VAME","No","NA","Yes","NA","Yes"
"48","VASI","NA","No","NA","NA","No"
"49","ACCI","NA","No","NA","NA","No"
"49","ACGL","NA","No","NA","NA","No"
"49","ACMI","No","NA","NA","NA","No"
"49","AMAL","NA","No","NA","NA","No"
"49","ARUV","Yes","NA","NA","NA","No"
"49","ATFI","NA","No","NA","NA","No"
"49","CAME","NA","No","NA","NA","No"
"49","CARU","No","NA","NA","NA","Yes"
"49","CEVE","No","NA","NA","NA","No"
"49","CHUM","NA","No","NA","NA","No"
"49","CLUN","NA","No","NA","NA","No"
"49","COCA","NA","No","NA","NA","No"
"49","EPAN","No","NA","NA","NA","No"
"49","GAOV","NA","No","NA","NA","No"
"49","GASH","NA","No","NA","NA","No"
"49","GOOB","NA","No","NA","NA","No"
"49","GYDR","NA","No","NA","NA","No"
"49","HIAL","NA","No","NA","NA","No"
"49","HODI","NA","No","Yes","NA","No"
"49","LIBO","NA","No","NA","NA","No"
"49","MANE","NA","No","NA","NA","No"
"49","MEFE","NA","No","NA","NA","No"
"49","OPHO","NA","No","NA","NA","Yes"
"49","PAMY","No","NA","NA","NA","Yes"
"49","POMU","NA","No","NA","NA","No"
"49","PTAQ","NA","No","NA","NA","No"
"49","RULA","NA","No","NA","NA","No"
"49","RUPA","NA","No","NA","NA","No"
"49","RUPE","NA","No","NA","NA","No"
"49","RUSP","NA","No","NA","NA","No"
"49","SOSI","NA","No","NA","NA","No"
"49","SPBE","NA","Yes","NA","NA","No"
"49","TITR","NA","No","NA","NA","No"
"49","TRBO","NA","No","NA","Yes","NA"
"49","VAME","No","NA","Yes","NA","Yes"
"49","VASI","NA","No","NA","NA","No"
"50","ACCI","NA","No","NA","NA","No"
"50","ACGL","NA","No","NA","NA","No"
"50","ACMI","No","NA","NA","NA","No"
"50","AMAL","NA","No","NA","NA","No"
"50","ARUV","No","NA","NA","NA","Yes"
"50","ATFI","NA","No","NA","NA","No"
"50","CAME","NA","No","NA","NA","No"
"50","CARU","Yes","NA","NA","NA","No"
"50","CEVE","No","NA","NA","NA","Yes"
"50","CHUM","NA","No","NA","NA","No"
"50","CLUN","NA","No","NA","NA","No"
"50","COCA","NA","No","NA","NA","No"
"50","EPAN","No","NA","NA","NA","Yes"
"50","GAOV","NA","No","NA","NA","No"
"50","GASH","NA","No","NA","NA","No"
"50","GOOB","NA","No","NA","NA","No"
"50","GYDR","NA","No","NA","NA","No"
"50","HIAL","NA","No","NA","NA","No"
"50","HODI","NA","No","Yes","NA","No"
"50","LIBO","NA","No","NA","NA","No"
"50","MANE","NA","No","NA","NA","No"
"50","MEFE","NA","No","NA","NA","No"
"50","OPHO","NA","No","NA","NA","No"
"50","PAMY","No","NA","NA","NA","Yes"
"50","POMU","NA","No","NA","NA","No"
"50","PTAQ","NA","No","NA","NA","No"
"50","RULA","NA","No","NA","NA","No"
"50","RUPA","NA","No","NA","NA","No"
"50","RUPE","NA","No","NA","NA","No"
"50","RUSP","NA","No","NA","NA","No"
"50","SOSI","NA","No","NA","NA","No"
"50","SPBE","NA","Yes","NA","NA","No"
"50","TITR","NA","No","NA","NA","No"
"50","TRBO","NA","No","NA","NA","No"
"50","VAME","No","NA","Yes","NA","Yes"
"50","VASI","NA","No","NA","NA","No"
"51","ACCI","NA","No","NA","NA","No"
"51","ACGL","NA","No","NA","NA","No"
"51","ACMI","No","NA","NA","NA","No"
"51","AMAL","NA","Yes","NA","NA","No"
"51","ARUV","No","NA","NA","NA","No"
"51","ATFI","NA","No","NA","NA","No"
"51","CAME","NA","No","NA","Yes","NA"
"51","CARU","No","NA","NA","NA","Yes"
"51","CEVE","No","NA","NA","NA","No"
"51","CHUM","NA","No","NA","NA","No"
"51","CLUN","NA","No","NA","NA","No"
"51","COCA","NA","No","NA","NA","No"
"51","EPAN","No","NA","NA","NA","Yes"
"51","GAOV","NA","No","NA","NA","No"
"51","GASH","NA","No","NA","NA","No"
"51","GOOB","NA","No","NA","NA","No"
"51","GYDR","NA","No","NA","NA","No"
"51","HIAL","NA","No","NA","NA","No"
"51","HODI","NA","No","Yes","NA","No"
"51","LIBO","NA","No","NA","NA","No"
"51","MANE","NA","No","NA","NA","No"
"51","MEFE","NA","No","NA","NA","No"
"51","OPHO","NA","No","NA","NA","Yes"
"51","PAMY","No","NA","NA","NA","Yes"
"51","POMU","NA","No","NA","NA","No"
"51","PTAQ","NA","No","NA","NA","No"
"51","RULA","NA","No","NA","NA","No"
"51","RUPA","NA","No","NA","NA","No"
"51","RUPE","NA","No","NA","NA","No"
"51","RUSP","NA","No","NA","NA","No"
"51","SOSI","NA","No","NA","NA","No"
"51","SPBE","NA","No","NA","NA","No"
"51","TITR","NA","No","NA","NA","No"
"51","TRBO","NA","No","NA","NA","No"
"51","VAME","No","NA","Yes","NA","Yes"
"51","VASI","NA","No","NA","NA","No"
"52","ACCI","NA","No","NA","NA","No"
"52","ACGL","NA","No","NA","NA","No"
"52","ACMI","No","NA","NA","NA","No"
"52","AMAL","NA","Yes","NA","NA","No"
"52","ARUV","No","NA","NA","NA","No"
"52","ATFI","NA","No","NA","NA","No"
"52","CAME","NA","No","NA","Yes","NA"
"52","CARU","No","NA","NA","NA","No"
"52","CEVE","No","NA","NA","NA","No"
"52","CHUM","NA","No","NA","NA","No"
"52","CLUN","NA","No","NA","NA","No"
"52","COCA","NA","No","NA","NA","No"
"52","EPAN","No","NA","NA","NA","No"
"52","GAOV","NA","No","NA","NA","No"
"52","GASH","NA","No","NA","NA","No"
"52","GOOB","NA","No","NA","NA","No"
"52","GYDR","NA","No","NA","NA","No"
"52","HIAL","NA","No","NA","NA","No"
"52","HODI","NA","No","Yes","NA","No"
"52","LIBO","NA","No","NA","NA","No"
"52","MANE","NA","No","NA","NA","No"
"52","MEFE","NA","No","NA","NA","Yes"
"52","OPHO","NA","No","NA","NA","No"
"52","PAMY","No","NA","NA","NA","Yes"
"52","POMU","NA","No","NA","NA","No"
"52","PTAQ","NA","No","NA","NA","No"
"52","RULA","NA","No","NA","NA","No"
"52","RUPA","NA","No","NA","NA","No"
"52","RUPE","NA","No","NA","NA","No"
"52","RUSP","NA","No","NA","NA","No"
"52","SOSI","NA","No","NA","NA","No"
"52","SPBE","NA","No","NA","NA","No"
"52","TITR","NA","No","NA","NA","No"
"52","TRBO","NA","No","NA","NA","No"
"52","VAME","No","NA","Yes","NA","Yes"
"52","VASI","NA","No","NA","NA","No"
"53","ACCI","NA","No","NA","NA","No"
"53","ACGL","NA","No","NA","NA","No"
"53","ACMI","No","NA","NA","NA","No"
"53","AMAL","NA","No","NA","NA","No"
"53","ARUV","No","NA","NA","NA","No"
"53","ATFI","NA","No","NA","NA","No"
"53","CAME","NA","No","NA","NA","No"
"53","CARU","Yes","NA","NA","NA","Yes"
"53","CEVE","No","NA","NA","NA","Yes"
"53","CHUM","NA","No","NA","NA","No"
"53","CLUN","NA","No","NA","NA","No"
"53","COCA","NA","No","NA","NA","No"
"53","EPAN","No","NA","NA","NA","Yes"
"53","GAOV","NA","No","NA","NA","No"
"53","GASH","NA","No","NA","NA","No"
"53","GOOB","NA","No","NA","NA","No"
